YEAR,STATEFIP,COUNTYFP,OWNERSHP,HHINCOME,SEX,AGE,MARST,RACE,EDUC
2019,13,117,1,148000,1,64,1,1,1
2019,13,117,1,148000,0,64,1,1,1
2019,13,63,1,3600,1,64,1,2,2
2019,13,63,1,3600,0,60,1,2,2
2019,13,51,0,107000,1,42,0,2,2
2019,13,97,1,89700,0,57,1,1,1
2019,13,97,1,89700,1,58,1,1,1
2019,13,0,1,123600,0,62,3,2,1
2019,13,0,1,123600,1,42,0,2,2
2019,13,0,1,123600,0,23,0,2,1
2019,13,0,1,37000,1,39,1,4,1
2019,13,0,1,37000,0,38,1,4,1
2019,13,0,1,10800,0,61,1,1,2
2019,13,0,1,10800,1,62,1,1,1
2019,13,0,0,19800,0,63,0,2,1
2019,13,73,1,192000,0,46,1,1,2
2019,13,73,1,192000,1,53,1,1,2
2019,13,0,1,42900,1,72,1,1,1
2019,13,0,1,42900,0,69,1,1,1
2019,13,0,1,70000,0,51,3,1,2
2019,13,0,1,70000,1,53,3,1,1
2019,13,57,0,127000,0,32,1,2,2
2019,13,57,0,127000,1,38,1,2,2
2019,13,135,1,150000,0,57,1,5,2
2019,13,135,1,150000,1,61,1,2,2
2019,13,135,0,74600,1,59,3,1,2
2019,13,135,0,74600,0,42,0,1,2
2019,13,77,1,424500,0,56,3,1,2
2019,13,77,1,424500,0,34,3,1,1
2019,13,51,1,33280,1,56,1,2,1
2019,13,51,1,33280,0,56,1,2,1
2019,13,135,1,54100,0,66,1,1,2
2019,13,135,1,54100,1,67,1,1,2
2019,13,67,1,75000,0,31,0,1,2
2019,13,15,0,14000,0,63,4,1,1
2019,13,73,1,115000,0,27,1,1,3
2019,13,73,1,115000,1,29,1,1,2
2019,13,0,1,78700,0,64,3,1,2
2019,13,0,1,78700,1,67,3,1,3
2019,13,0,1,119000,1,55,1,1,2
2019,13,0,1,119000,0,52,1,1,2
2019,13,0,0,17900,0,51,2,1,2
2019,13,0,0,17900,1,54,3,1,1
2019,13,0,1,179500,1,52,1,1,3
2019,13,0,1,179500,0,51,1,1,3
2019,13,0,1,111000,1,51,1,4,3
2019,13,0,1,111000,0,58,1,4,1
2019,13,0,1,111000,0,54,0,4,1
2019,13,0,1,8000,1,51,0,2,1
2019,13,0,1,91010,0,27,1,1,2
2019,13,0,1,91010,1,30,1,1,3
2019,13,0,1,70400,1,73,1,1,2
2019,13,0,1,70400,0,73,1,1,1
2019,13,0,1,70400,0,39,0,1,2
2019,13,0,0,6000,0,34,0,2,1
2019,13,245,1,92000,0,46,1,2,2
2019,13,245,1,92000,1,38,1,2,3
2019,13,51,0,46200,0,30,0,2,1
2019,13,51,0,46200,0,37,4,2,2
2019,13,135,1,155000,1,40,3,1,3
2019,13,135,1,155000,0,45,3,1,2
2019,13,0,1,51000,0,66,0,1,2
2019,13,51,1,58000,0,51,3,1,2
2019,13,21,1,69880,1,68,1,1,2
2019,13,21,1,69880,0,70,1,1,2
2019,13,0,0,89700,0,66,1,1,1
2019,13,0,0,89700,1,71,1,1,1
2019,13,0,1,60700,0,62,1,2,1
